id,epic_id,title,objective,depends_on,requirement_ids,design_refs,deliverables,acceptance_criteria,test_suites,priority,mvp,size,open_decisions,one_pr_preferred,design_status,implementation_status,verification_status
ST-0205,EPIC-02,Synthetic data factory,全Domainの安全なFixture生成,ST-0201;ST-0202,,RAOS-TEST-001,factories;seed scenarios,review body/PIIなし,TST-005;TST-031,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0301,EPIC-03,Migration framework,Version、transaction、lock、historyを実装,ST-0201;ST-0002;ST-0003;ST-0004,,RAOS-DATA-001,migration runner;history table,zero-to-latest,TST-008;TST-009,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0302,EPIC-03,Foundation schemas and extensions,MIG-001相当を実装,ST-0301,,,schemas;types;uuidv7 validation,baseline validation SQL pass,TST-008,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0303,EPIC-03,IAM/OPS schemas,IAM、Job、Outbox、Inbox、Auditを実装,ST-0302,FR-019;FR-020,,tables;constraints;indexes,state/immutable/idempotency constraints,TST-008;TST-011;TST-013,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0304,EPIC-03,Domain schemas,Portfolio/Catalog/Evidence/Editorial/AI/Policyを段階実装,ST-0303,FR-001;FR-002;FR-003;FR-004;FR-007;FR-018,,domain migrations,catalog/data tests,TST-008;TST-010,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0305,EPIC-03,Publication/analytics/finance schemas,Snapshot/Readmodel/Freshness/Analytics/Financeを実装,ST-0304,FR-010;FR-013;FR-014;FR-015,,migrations,public isolation/finance states,TST-008;TST-011;TST-030,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0306,EPIC-03,Database roles and grants,各Workload Roleを適用,ST-0303;ST-0305,FR-020,RAOS-SEC-001,role migrations;grant tests,public role readmodel only;app not owner,TST-011,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0307,EPIC-03,Migration upgrade fixtures,旧VersionとAlignment dataのupgradeを固定,ST-0305,,,versioned DB fixtures,upgrade/rollback strategy pass,TST-010,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0308,EPIC-03,Persistence ports and repositories,Domain portをDBへ実装,ST-0304;ST-0105,,,repositories;transaction boundary,cross-module write rules,TST-005;TST-008,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0401,EPIC-04,OIDC adapter and admin login,Production-ready OIDC境界を実装,ST-0103;ST-0204,,RAOS-SEC-001;RAOS-UI-001,OIDC port;callback;session,state/nonce/PKCE/session rotation,TST-012;TST-022;TST-026,P0,True,L,OD-010,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0402,EPIC-04,MFA and step-up,Critical Commandの再認証,ST-0401,,,MFA claim;step-up middleware,expired/no MFA拒否,TST-012;TST-022;TST-026,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0403,EPIC-04,Authorization policy engine,Role/Scope/Site/State判定,ST-0306;ST-0401,,,policy engine;decorators/dependencies,deny default;horizontal/vertical negative,TST-011;TST-012;TST-026,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0404,EPIC-04,HTTP security baseline,CSRF、CSP、headers、error hygiene,ST-0401,,,middleware;headers;problem redaction,security tests pass,TST-012;TST-026,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0405,EPIC-04,Audit event service,Critical actionを不変記録,ST-0303;ST-0403,FR-020,,audit writer/query,actor/reason/correlation/hash,TST-011;TST-012,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0406,EPIC-04,Secure object/file intake,Quarantine/scan/CSV protection,ST-0202;ST-0403,,RAOS-SEC-001,upload service;scan interface,malicious fixtures rejected,TST-014;TST-026;TST-031,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0407,EPIC-04,Secret and workload identity integration,Provider/DB/CIの短期・分離Credential,ST-0204,,RAOS-SEC-001,secret port;rotation hooks,no secret in logs/repo,TST-026;TST-031,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0501,EPIC-05,Portfolio CRUD and workflow,Category/Keyword/Intent/Planを実装,ST-0308;ST-0403,FR-001,,domain/API,stable IDs/version/concurrency,TST-005;TST-012,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0502,EPIC-05,Rakuten adapter recorded,商品検索AdapterとRaw保存,ST-0202;ST-0308,FR-002,,adapter;canonical page;fixtures,retry/rate/pagination/raw hash,TST-014;TST-015,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0503,EPIC-05,Catalog normalization,Candidate/Offer/Observationを正規化,ST-0502,FR-003;FR-004,,normalizer;repositories,source/timestamp/confidence preserved,TST-005;TST-007;TST-008,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0504,EPIC-05,Product identity decision engine,自動候補とHuman統合/分離Decision,ST-0503,FR-003,,rule engine;decision history,ambiguous defaults to review;supersede not mutate,TST-007;TST-020,P0,True,L,OD-006,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0505,EPIC-05,Rakuten live bounded smoke,実Credentialで低影響検証,ST-0502,FR-002,,live smoke report,auth/schema/rate observed,TST-016,P0,True,S,OD-015,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0506,EPIC-05,Portfolio/catalog admin UI,管理画面を実装,ST-0501;ST-0504;ST-1101,,,screens PORT/CAT,keyboard/authz/concurrency,TST-022;TST-023,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0601,EPIC-06,Raw artifact registry,原本Hash、provenance、object ref,ST-0202;ST-0308,FR-002;FR-004,,artifact service,immutable/tamper detection,TST-014,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0602,EPIC-06,Fact extraction and validation,原本から型付きFactを作成,ST-0601;ST-0503,FR-004,,fact service;validators,unit/time/source/confidence,TST-005;TST-007,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0603,EPIC-06,Conflict detection,同一属性の矛盾を検出,ST-0602,FR-008,,conflict rules;queue,conflict not silently resolved,TST-007;TST-020,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0604,EPIC-06,Source packet lifecycle,Draft/approve/version/lockを実装,ST-0602;ST-0603;ST-0403,FR-006,,packet service/API,unapproved cannot generate,TST-012;TST-020,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0605,EPIC-06,Claim/evidence service,ClaimとFactのLink/Coverage,ST-0604,FR-007,,claim service;coverage,major 100% rule,TST-020;TST-021,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0606,EPIC-06,Evidence admin workspace,Source/Fact/Conflict/Matrix UI,ST-0604;ST-0605;ST-1101,,,EVD screens,source within two actions;a11y,TST-022;TST-024,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0701,EPIC-07,AI contract registry loader,Task/Prompt/Schema/RouteをHash検証,ST-0104;ST-0003,FR-018,,registry loader,unknown/hash mismatch fail,TST-001;TST-017,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0702,EPIC-07,Context pack builder,Allowlist FactからCanonical inputを作る,ST-0604;ST-0701,FR-006,,manifest builder;token budget,important fact truncation fails,TST-005;TST-019,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0703,EPIC-07,OpenAI Responses adapter recorded,Structured output/refusal/usageを実装,ST-0701;ST-0204,FR-018,,provider port/adapter,store=false config;tools none;recorded error,TST-017,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0704,EPIC-07,Model router and budget,Task適格性、budget、fallbackを実装,ST-0703,,,router;circuit breaker;cost guard,unsafe fallback prohibited,TST-005;TST-017;TST-019,P0,True,L,OD-009,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0705,EPIC-07,AI output validators,Fact/identity/policy/secretを検査,ST-0702;ST-0703;ST-0605,FR-007;FR-008,,validator pipeline,schema pass alone not accepted,TST-019;TST-020,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0706,EPIC-07,AI job orchestration,Job、artifact、retry、quarantine,ST-0303;ST-0704;ST-0705,FR-018,,workers;events,idempotent/deadline/cost,TST-013;TST-017,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0707,EPIC-07,Evaluation harness,Dataset/metric/human label/release decision,ST-0705,,,eval runner;reports,locked holdout;zero tolerance,TST-018;TST-019,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0708,EPIC-07,Live bounded AI evaluation,候補Modelを実Datasetで評価,ST-0707;ST-0703,,,release decision candidate,risk-specific thresholds,TST-018,P0,True,M,OD-015,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0709,EPIC-07,AI governance admin UI,Task/Prompt/Route/Eval/Costを表示,ST-0706;ST-0707;ST-1101,,,GOV screen,no direct activation without approval,TST-022,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0801,EPIC-08,Content AST types and validator,24 Blockを実装,ST-0004;ST-0105,FR-007;FR-008,,types;loader;fixtures,raw HTML/finance/review body rejected,TST-020,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0802,EPIC-08,Article plan/version lifecycle,Article Type/Version/AST保存,ST-0501;ST-0801;ST-0308,FR-001,,domain/API,version/ETag/history,TST-012;TST-020,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0803,EPIC-08,Comparison validator,Product/axis/unit/variant/unknown検査,ST-0504;ST-0605;ST-0802,,,comparison engine,variant mismatch blocks,TST-007;TST-020,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0804,EPIC-08,Recommendation engine,Hard constraint/weight/tie/penaltyを決定的計算,ST-0803,FR-005,,methodology engine;explanation artifact,finance fields impossible;tie handled,TST-007;TST-020,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0805,EPIC-08,Editorial policy engine,40 Policy/quality gate/findingを実装,ST-0605;ST-0802;ST-0804,FR-008;FR-017,,policy runner;finding,zero tolerance block,TST-019;TST-020,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0806,EPIC-08,AI draft integration,Evidence-bounded writer/claim auditorを記事へ接続,ST-0706;ST-0802;ST-0605,FR-006;FR-007,,draft flow;diff artifact,"human editable, no approval",TST-018;TST-020,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0807,EPIC-08,SEO and structured data renderer,metadata/canonical/robots/JSON-LDを決定的生成,ST-0802;ST-0805,FR-010,,SEO renderer;validators,visible content一致;no Product/FAQ prohibited markup,TST-020;TST-022,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0808,EPIC-08,Media asset pipeline,source/license/alt/dimensionsを検証,ST-0406;ST-0802,,,media service;renderer input,unknown rights hidden,TST-014;TST-020;TST-024,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0901,EPIC-09,Review workflow,Checklist/Finding/decisionを実装,ST-0805;ST-0403,FR-009,,review API/domain,reviewer identity/immutable decision,TST-011;TST-012;TST-020,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0902,EPIC-09,Final approval,全Gate/hashを束ねる承認,ST-0901;ST-0605;ST-0805,FR-009,,approval command,self approval separation;blocking finding rejects,TST-012;TST-021,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0903,EPIC-09,Publication manifest/snapshot,承認版から不変Snapshotを生成,ST-0902;ST-0807;ST-0808,FR-010,,manifest;snapshot;hash,deterministic/immutable,TST-014;TST-021,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0904,EPIC-09,Public projection,Snapshotをreadmodelへ投影,ST-0903;ST-0306,FR-010,,projector,public role only required fields,TST-011;TST-021,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0905,EPIC-09,Publish/unpublish/rollback commands,冪等CommandとEventを実装,ST-0903;ST-0904;ST-0402,FR-010,,commands;events,double publish no duplication;rollback smoke,TST-012;TST-013;TST-021,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0906,EPIC-09,Publication review UI,review/approval/preview/publish/rollback画面,ST-0901;ST-0905;ST-1101,,,REV/PUBA screens,step-up/a11y/diff,TST-022;TST-024,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1001,EPIC-10,Public app shell and policy pages,Header/Footer/Policy/Disclosureを実装,ST-0103;ST-0807,,,public routes,SSR/metadata/a11y,TST-022;TST-023,P0,True,M,OD-002;OD-012,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1002,EPIC-10,Public article renderer,Publication SnapshotからASTを描画,ST-0904;ST-1001,FR-010,,article route/components,hash-bound;no internal fields,TST-021;TST-022;TST-023,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1003,EPIC-10,Comparison and product components,比較表/Card/Unknown/Trade-offを描画,ST-1002;ST-0803,,,public components,mobile/header semantics,TST-022;TST-024,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1004,EPIC-10,Disclosure and affiliate CTA,固定開示と正規URL直接遷移,ST-1002;ST-0503,FR-011,,disclosure renderer;CTA,rel sponsored;destination clear;beacon independent,TST-020;TST-022;TST-026,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1005,EPIC-10,SEO routes/sitemap/robots,canonical/noindex/sitemapを実装,ST-1002;ST-0807,,,sitemap;robots;route policy,draft/facet noindex;canonical unique,TST-020;TST-022,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1006,EPIC-10,Public performance and RUM hooks,CWV instrumentation/cache/image最適化,ST-1002,,,RUM hooks;budgets,lab target and no CLS from CTA,TST-027,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1007,EPIC-10,Public accessibility acceptance,manual/automated改善,ST-1003;ST-1004;ST-1005,,,a11y evidence,P0 checklist pass,TST-023;TST-024,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1101,EPIC-11,Admin shell/design system,Token/AppShell/Table/Form/Dialogを実装,ST-0103;ST-0401,,RAOS-UI-001,component library;admin routes,keyboard/focus/role guard,TST-006;TST-022;TST-023,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1102,EPIC-11,Article workspace UI,AST/AI diff/Claim/Comparison/SEOを統合,ST-0806;ST-1101,,,EDT screens,ETag conflict/unsaved guard,TST-022;TST-024,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1103,EPIC-11,Freshness and operations UI,queue/link/job/DLQ/incident画面,ST-1401;ST-1404;ST-1101,,,FRESH/OPS screens,status not color-only;safe actions,TST-022;TST-024,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1104,EPIC-11,Analytics/finance UI,KPI/basis/import/reconciliation画面,ST-1205;ST-1304;ST-1101,,,ANA/FIN screens,basis/freshness/unknown visible,TST-022;TST-024,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1105,EPIC-11,Admin visual/accessibility regression,全主要画面を検証,ST-0506;ST-0606;ST-0709;ST-0906;ST-1102;ST-1103;ST-1104,,,baseline/evidence,keyboard critical workflows,TST-023;TST-024;TST-025,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1201,EPIC-12,Canonical event collector,event schema/validation/dedupe/consent,ST-0305;ST-0404,FR-013,,collector;event store,PII reject;event id dedupe,TST-012;TST-030;TST-031,P0,True,L,OD-012,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1202,EPIC-12,Public event instrumentation,view/engagement/CTA/RUMを送信,ST-1002;ST-1004;ST-1201,FR-013,,client instrumentation,navigation not blocked,TST-022;TST-030,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1203,EPIC-12,Search Console adapter,GSC factsをVersioned import,ST-0305;ST-0204,FR-013,,adapter/job,dimension/request preserved;late reimport,TST-030,P0,True,L,OD-015,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1204,EPIC-12,GA4 Data API adapter,aggregate factsをimport,ST-0305;ST-0204,FR-013,,adapter/job,property/config snapshot,TST-030,P0,True,L,OD-012;OD-015,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1205,EPIC-12,KPI read models,30 KPIを定義Version付きで計算,ST-1201;ST-1203;ST-1204,FR-013;FR-015,,SQL/jobs/read models,fixture formulas reproduce,TST-030,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1206,EPIC-12,Rank/keyword import extension,承認ProviderまたはCSVを追加,ST-1205,,,optional adapter,no SERP scrape,TST-030,P2,False,M,OD-004,True,APPROVED_FOR_IMPLEMENTATION,DEFERRED_POST_MVP,NOT_EXECUTED
ST-1301,EPIC-13,Revenue file intake,secure upload/schema detect/dry run,ST-0406;ST-0305,FR-014,,import flow,hash/duplicate/formula/amount summary,TST-026;TST-030,P0,True,L,OD-003,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1302,EPIC-13,Provider fact commit,dry runと同一Hashを冪等取込,ST-1301,FR-014,,commit command;facts,generated/confirmed/cancelled separate,TST-008;TST-030,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1303,EPIC-13,Attribution engine,direct/estimated/unattributedを実装,ST-1202;ST-1302,FR-013,,method version;run,totals conserved;confidence required,TST-007;TST-030,P0,True,L,OD-003,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1304,EPIC-13,Cost and unit economics,AI/API/labor cost、EPC/RPM/profit,ST-0706;ST-1205;ST-1303,FR-015,,cost allocation;read models,unknown labor not zero;basis visible,TST-030,P0,True,L,OD-005;OD-009,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1305,EPIC-13,Finance reconciliation report,Provider/Canonical/Attribution/Costを照合,ST-1304,,,report/evidence,batch totals and exceptions,TST-030,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1401,EPIC-14,Freshness scheduler and state,Fact/Offer/Link/articleの期限を評価,ST-0503;ST-0605,FR-012,,scheduler;state,category SLA version;stale not fresh,TST-005;TST-028,P0,True,L,OD-007,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1402,EPIC-14,Safe degradation renderer,stale price/stock/linkを非表示/停止,ST-1002;ST-1401,FR-011;FR-012,,degradation policy,no guessed value;notice,TST-020;TST-021;TST-028,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1403,EPIC-14,Refresh proposal workflow,差分と再承認範囲を生成,ST-1401;ST-0805,FR-016,,proposal;impact,rank change requires approval,TST-020;TST-021,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1404,EPIC-14,Job/Outbox/Inbox runtime,dispatcher/worker/lease/retry/DLQ,ST-0303;ST-0203,,,runtime,duplicate safe;deadline/cancel,TST-013;TST-028,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1405,EPIC-14,Kill switch runtime,publication/affiliate scope/generation,ST-0402;ST-0905;ST-1404,FR-019,,commands;cache strategy;synthetic,old generation cannot disable;fail safe,TST-012;TST-022;TST-028,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-1406,EPIC-14,Incident service,severity/timeline/action/evidence,ST-0405;ST-1405,,,incident domain/API,audit and owner,TST-012;TST-028,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
