id,category,area,item,design_status,implementation_status,verification_status,blocking,dependencies,evidence_required,owner,source,notes
ST-0106,IMPLEMENTATION_STORY,EPIC-01,Create base CI,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0102;ST-0103;ST-0104,TST-001;TST-002,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0107,IMPLEMENTATION_STORY,EPIC-01,Install PR governance,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0106,TST-001,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0201,IMPLEMENTATION_STORY,EPIC-02,Local PostgreSQL 18 service,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0102,TST-008,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0202,IMPLEMENTATION_STORY,EPIC-02,Local S3-compatible object service,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0102,TST-014,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0203,IMPLEMENTATION_STORY,EPIC-02,Local queue abstraction,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0102,TST-013,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0204,IMPLEMENTATION_STORY,EPIC-02,Configuration and secret loader,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0102;ST-0103,TST-005;TST-031,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0205,IMPLEMENTATION_STORY,EPIC-02,Synthetic data factory,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0201;ST-0202,TST-005;TST-031,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0301,IMPLEMENTATION_STORY,EPIC-03,Migration framework,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0201;ST-0002;ST-0003;ST-0004,TST-008;TST-009,Data Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0302,IMPLEMENTATION_STORY,EPIC-03,Foundation schemas and extensions,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0301,TST-008,Data Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0303,IMPLEMENTATION_STORY,EPIC-03,IAM/OPS schemas,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0302,TST-008;TST-011;TST-013,Data Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0304,IMPLEMENTATION_STORY,EPIC-03,Domain schemas,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0303,TST-008;TST-010,Data Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0305,IMPLEMENTATION_STORY,EPIC-03,Publication/analytics/finance schemas,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0304,TST-008;TST-011;TST-030,Data Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0306,IMPLEMENTATION_STORY,EPIC-03,Database roles and grants,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0303;ST-0305,TST-011,Data Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0307,IMPLEMENTATION_STORY,EPIC-03,Migration upgrade fixtures,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0305,TST-010,Data Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0308,IMPLEMENTATION_STORY,EPIC-03,Persistence ports and repositories,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0304;ST-0105,TST-005;TST-008,Data Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0401,IMPLEMENTATION_STORY,EPIC-04,OIDC adapter and admin login,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0103;ST-0204,TST-012;TST-022;TST-026,Security/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-010
ST-0402,IMPLEMENTATION_STORY,EPIC-04,MFA and step-up,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0401,TST-012;TST-022;TST-026,Security/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0403,IMPLEMENTATION_STORY,EPIC-04,Authorization policy engine,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0306;ST-0401,TST-011;TST-012;TST-026,Security/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0404,IMPLEMENTATION_STORY,EPIC-04,HTTP security baseline,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0401,TST-012;TST-026,Security/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0405,IMPLEMENTATION_STORY,EPIC-04,Audit event service,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0303;ST-0403,TST-011;TST-012,Security/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0406,IMPLEMENTATION_STORY,EPIC-04,Secure object/file intake,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0202;ST-0403,TST-014;TST-026;TST-031,Security/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0407,IMPLEMENTATION_STORY,EPIC-04,Secret and workload identity integration,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0204,TST-026;TST-031,Security/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0501,IMPLEMENTATION_STORY,EPIC-05,Portfolio CRUD and workflow,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0308;ST-0403,TST-005;TST-012,Catalog/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0502,IMPLEMENTATION_STORY,EPIC-05,Rakuten adapter recorded,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0202;ST-0308,TST-014;TST-015,Catalog/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0503,IMPLEMENTATION_STORY,EPIC-05,Catalog normalization,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0502,TST-005;TST-007;TST-008,Catalog/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0504,IMPLEMENTATION_STORY,EPIC-05,Product identity decision engine,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0503,TST-007;TST-020,Catalog/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-006
ST-0505,IMPLEMENTATION_STORY,EPIC-05,Rakuten live bounded smoke,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0502,TST-016,Catalog/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-015
ST-0506,IMPLEMENTATION_STORY,EPIC-05,Portfolio/catalog admin UI,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0501;ST-0504;ST-1101,TST-022;TST-023,Catalog/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0601,IMPLEMENTATION_STORY,EPIC-06,Raw artifact registry,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0202;ST-0308,TST-014,Editorial/Data,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0602,IMPLEMENTATION_STORY,EPIC-06,Fact extraction and validation,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0601;ST-0503,TST-005;TST-007,Editorial/Data,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0603,IMPLEMENTATION_STORY,EPIC-06,Conflict detection,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0602,TST-007;TST-020,Editorial/Data,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0604,IMPLEMENTATION_STORY,EPIC-06,Source packet lifecycle,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0602;ST-0603;ST-0403,TST-012;TST-020,Editorial/Data,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0605,IMPLEMENTATION_STORY,EPIC-06,Claim/evidence service,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0604,TST-020;TST-021,Editorial/Data,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0606,IMPLEMENTATION_STORY,EPIC-06,Evidence admin workspace,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0604;ST-0605;ST-1101,TST-022;TST-024,Editorial/Data,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0701,IMPLEMENTATION_STORY,EPIC-07,AI contract registry loader,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0104;ST-0003,TST-001;TST-017,AI/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0702,IMPLEMENTATION_STORY,EPIC-07,Context pack builder,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0604;ST-0701,TST-005;TST-019,AI/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0703,IMPLEMENTATION_STORY,EPIC-07,OpenAI Responses adapter recorded,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0701;ST-0204,TST-017,AI/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0704,IMPLEMENTATION_STORY,EPIC-07,Model router and budget,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0703,TST-005;TST-017;TST-019,AI/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-009
ST-0705,IMPLEMENTATION_STORY,EPIC-07,AI output validators,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0702;ST-0703;ST-0605,TST-019;TST-020,AI/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0706,IMPLEMENTATION_STORY,EPIC-07,AI job orchestration,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0303;ST-0704;ST-0705,TST-013;TST-017,AI/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0707,IMPLEMENTATION_STORY,EPIC-07,Evaluation harness,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0705,TST-018;TST-019,AI/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0708,IMPLEMENTATION_STORY,EPIC-07,Live bounded AI evaluation,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0707;ST-0703,TST-018,AI/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-015
ST-0709,IMPLEMENTATION_STORY,EPIC-07,AI governance admin UI,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0706;ST-0707;ST-1101,TST-022,AI/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0801,IMPLEMENTATION_STORY,EPIC-08,Content AST types and validator,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0004;ST-0105,TST-020,Editorial/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0802,IMPLEMENTATION_STORY,EPIC-08,Article plan/version lifecycle,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0501;ST-0801;ST-0308,TST-012;TST-020,Editorial/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0803,IMPLEMENTATION_STORY,EPIC-08,Comparison validator,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0504;ST-0605;ST-0802,TST-007;TST-020,Editorial/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0804,IMPLEMENTATION_STORY,EPIC-08,Recommendation engine,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0803,TST-007;TST-020,Editorial/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0805,IMPLEMENTATION_STORY,EPIC-08,Editorial policy engine,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0605;ST-0802;ST-0804,TST-019;TST-020,Editorial/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0806,IMPLEMENTATION_STORY,EPIC-08,AI draft integration,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0706;ST-0802;ST-0605,TST-018;TST-020,Editorial/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0807,IMPLEMENTATION_STORY,EPIC-08,SEO and structured data renderer,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0802;ST-0805,TST-020;TST-022,Editorial/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0808,IMPLEMENTATION_STORY,EPIC-08,Media asset pipeline,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0406;ST-0802,TST-014;TST-020;TST-024,Editorial/Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0901,IMPLEMENTATION_STORY,EPIC-09,Review workflow,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0805;ST-0403,TST-011;TST-012;TST-020,Editorial/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0902,IMPLEMENTATION_STORY,EPIC-09,Final approval,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0901;ST-0605;ST-0805,TST-012;TST-021,Editorial/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0903,IMPLEMENTATION_STORY,EPIC-09,Publication manifest/snapshot,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0902;ST-0807;ST-0808,TST-014;TST-021,Editorial/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0904,IMPLEMENTATION_STORY,EPIC-09,Public projection,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0903;ST-0306,TST-011;TST-021,Editorial/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0905,IMPLEMENTATION_STORY,EPIC-09,Publish/unpublish/rollback commands,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0903;ST-0904;ST-0402,TST-012;TST-013;TST-021,Editorial/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0906,IMPLEMENTATION_STORY,EPIC-09,Publication review UI,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0901;ST-0905;ST-1101,TST-022;TST-024,Editorial/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1001,IMPLEMENTATION_STORY,EPIC-10,Public app shell and policy pages,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0103;ST-0807,TST-022;TST-023,Web/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-002;OD-012
ST-1002,IMPLEMENTATION_STORY,EPIC-10,Public article renderer,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0904;ST-1001,TST-021;TST-022;TST-023,Web/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1003,IMPLEMENTATION_STORY,EPIC-10,Comparison and product components,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1002;ST-0803,TST-022;TST-024,Web/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1004,IMPLEMENTATION_STORY,EPIC-10,Disclosure and affiliate CTA,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1002;ST-0503,TST-020;TST-022;TST-026,Web/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1005,IMPLEMENTATION_STORY,EPIC-10,SEO routes/sitemap/robots,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1002;ST-0807,TST-020;TST-022,Web/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1006,IMPLEMENTATION_STORY,EPIC-10,Public performance and RUM hooks,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1002,TST-027,Web/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1007,IMPLEMENTATION_STORY,EPIC-10,Public accessibility acceptance,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1003;ST-1004;ST-1005,TST-023;TST-024,Web/Editorial,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1101,IMPLEMENTATION_STORY,EPIC-11,Admin shell/design system,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0103;ST-0401,TST-006;TST-022;TST-023,Web/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1102,IMPLEMENTATION_STORY,EPIC-11,Article workspace UI,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0806;ST-1101,TST-022;TST-024,Web/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1103,IMPLEMENTATION_STORY,EPIC-11,Freshness and operations UI,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1401;ST-1404;ST-1101,TST-022;TST-024,Web/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1104,IMPLEMENTATION_STORY,EPIC-11,Analytics/finance UI,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1205;ST-1304;ST-1101,TST-022;TST-024,Web/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1105,IMPLEMENTATION_STORY,EPIC-11,Admin visual/accessibility regression,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0506;ST-0606;ST-0709;ST-0906;ST-1102;ST-1103;ST-1104,TST-023;TST-024;TST-025,Web/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1201,IMPLEMENTATION_STORY,EPIC-12,Canonical event collector,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0305;ST-0404,TST-012;TST-030;TST-031,Analytics,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-012
ST-1202,IMPLEMENTATION_STORY,EPIC-12,Public event instrumentation,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1002;ST-1004;ST-1201,TST-022;TST-030,Analytics,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1203,IMPLEMENTATION_STORY,EPIC-12,Search Console adapter,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0305;ST-0204,TST-030,Analytics,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-015
ST-1204,IMPLEMENTATION_STORY,EPIC-12,GA4 Data API adapter,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0305;ST-0204,TST-030,Analytics,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-012;OD-015
ST-1205,IMPLEMENTATION_STORY,EPIC-12,KPI read models,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1201;ST-1203;ST-1204,TST-030,Analytics,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1206,IMPLEMENTATION_STORY,EPIC-12,Rank/keyword import extension,APPROVED_FOR_IMPLEMENTATION,DEFERRED_POST_MVP,NOT_EXECUTED,false,ST-1205,TST-030,Analytics,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-004
ST-1301,IMPLEMENTATION_STORY,EPIC-13,Revenue file intake,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0406;ST-0305,TST-026;TST-030,Finance/Analytics,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-003
ST-1302,IMPLEMENTATION_STORY,EPIC-13,Provider fact commit,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1301,TST-008;TST-030,Finance/Analytics,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1303,IMPLEMENTATION_STORY,EPIC-13,Attribution engine,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1202;ST-1302,TST-007;TST-030,Finance/Analytics,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-003
ST-1304,IMPLEMENTATION_STORY,EPIC-13,Cost and unit economics,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0706;ST-1205;ST-1303,TST-030,Finance/Analytics,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-005;OD-009
ST-1305,IMPLEMENTATION_STORY,EPIC-13,Finance reconciliation report,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1304,TST-030,Finance/Analytics,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1401,IMPLEMENTATION_STORY,EPIC-14,Freshness scheduler and state,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0503;ST-0605,TST-005;TST-028,Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-007
ST-1402,IMPLEMENTATION_STORY,EPIC-14,Safe degradation renderer,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1002;ST-1401,TST-020;TST-021;TST-028,Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1403,IMPLEMENTATION_STORY,EPIC-14,Refresh proposal workflow,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-1401;ST-0805,TST-020;TST-021,Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1404,IMPLEMENTATION_STORY,EPIC-14,Job/Outbox/Inbox runtime,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0303;ST-0203,TST-013;TST-028,Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1405,IMPLEMENTATION_STORY,EPIC-14,Kill switch runtime,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0402;ST-0905;ST-1404,TST-012;TST-022;TST-028,Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1406,IMPLEMENTATION_STORY,EPIC-14,Incident service,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0405;ST-1405,TST-012;TST-028,Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1407,IMPLEMENTATION_STORY,EPIC-14,External policy change registry,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0405;ST-0805,TST-005;TST-020,Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-1501,IMPLEMENTATION_STORY,EPIC-15,Terraform foundation,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0106,TST-026,Platform/Operations,07_backlog/RAOS_13_story_backlog_v1.0.yaml,OD-013
